modelo;ID;ITERACAO;PARAM_ATUAL;MPA_ATUAL;PARAM_MELHOR;MPA_MELHOR;Unnamed: 0
log_sarimax_hill_climb_1m;15;66;01001100110110011001001111;0.0098106676754375;01001100110110011001001111;0.0098106676754375;
log_sarimax_hill_climb_1m;16;47;00001010001010101011110111;0.0025741116446186;00001010001010101011110111;0.0025741116446186;
log_sarimax_hill_climb_1m;17;44;10010010011001011101110011;0.0010202912328492;10010010011001011101110011;0.0010202912328492;
log_sarimax_hill_climb_1m;18;28;10111000000001110001101110;0.0838827522693957;10111000000001110001101110;0.0838827522693957;
log_sarimax_hill_climb_1m;19;43;01010100100001100101110111;0.0544639759614242;01010100100001100101110111;0.0544639759614242;
log_sarimax_hill_climb_1m;20;1;11000100110011000000011011;0.0968436417232855;11000100110011000000011011;0.0968436417232855;
log_sarimax_hill_climb_1m;21;89;10010011010011011001010110;0.0030215610738478;10010011010011011001010110;0.0030215610738478;
log_sarimax_hill_climb_1m;22;1;10100110001111111101011100;0.0142783836073204;10100110001111111101011100;0.0142783836073204;
log_sarimax_hill_climb_1m;23;94;01110011000111110001101010;0.0164266177244191;01110011000111110001101010;0.0164266177244191;
log_sarimax_hill_climb_1m;24;6;10101010000010110011000010;0.0065233275568674;10101010000010110011000010;0.0065233275568674;
log_sarimax_hill_climb_6m;0;10;11100001000101001100000010;0.1151274309260346;11100001000101001100000010;0.1151274309260346;
log_sarimax_hill_climb_6m;1;96;11101000010000110001001011;0.0529441565816362;11101000010000110001001011;0.0529441565816362;
log_sarimax_hill_climb_6m;2;20;11111010001000010001000101;0.0326290948409525;11111010001000010001000101;0.0326290948409525;
log_sarimax_hill_climb_6m;3;63;10011001011000010101010110;0.064263235975344;10011001011000010101010110;0.064263235975344;
log_sarimax_hill_climb_6m;4;23;10101000101000100100101100;0.0664773818123471;10101000101000100100101100;0.0664773818123471;
log_sarimax_hill_climb_6m;5;24;01010001111110000011111110;0.0453693296533734;01010001111110000011111110;0.0453693296533734;
log_sarimax_hill_climb_6m;6;47;10110000100111001010101010;0.0713181714330238;10110000100111001010101010;0.0713181714330238;
log_sarimax_hill_climb_6m;7;76;10110000111011101100010111;0.0742000214974759;10110000111011101100010111;0.0742000214974759;
log_sarimax_hill_climb_6m;8;97;10110001010011101011110110;0.0568582897739291;10110001010011101011110110;0.0568582897739291;
log_sarimax_hill_climb_6m;9;70;11000001011101111001111000;0.0536059894235249;11000001011101111001111000;0.0536059894235249;
log_sarimax_hill_climb_6m;10;84;10000000011100110011111101;0.0387803166701887;10000000011100110011111101;0.0387803166701887;
log_sarimax_hill_climb_6m;11;2;10100001100111111011001100;0.0528484015348267;10100001100111111011001100;0.0528484015348267;
log_sarimax_hill_climb_6m;12;49;10111001000110101001110011;0.0401700769500428;10111001000110101001110011;0.0401700769500428;
log_sarimax_hill_climb_6m;13;66;11101001110111101010110110;0.0377217683469634;11101001110111101010110110;0.0377217683469634;
log_sarimax_hill_climb_6m;14;38;00101001010011110011010000;0.0860823826994206;00101001010011110011010000;0.0860823826994206;
log_sarimax_hill_climb_6m;15;44;01011001101101111100100000;0.0658211070771938;01011001101101111100100000;0.0658211070771938;
log_sarimax_hill_climb_6m;16;87;10111000011111111101001111;0.0855717282113284;10111000011111111101001111;0.0855717282113284;
log_sarimax_hill_climb_6m;17;90;01001000100011011010110100;0.11844518697247;01001000100011011010110100;0.11844518697247;
log_sarimax_hill_climb_6m;18;71;11111000100000111100110010;0.0647595760647732;11111000100000111100110010;0.0647595760647732;
log_sarimax_hill_climb_6m;19;99;10110001011100111011100000;0.0429578793805778;10110001011100111011100000;0.0429578793805778;
log_sarimax_hill_climb_6m;20;46;10011110011100001001101100;7.875878823477784;10011110011100001001101100;7.875878823477784;
log_sarimax_hill_climb_6m;21;90;10110000110000100100010001;0.0677388736225291;10110000110000100100010001;0.0677388736225291;
log_sarimax_hill_climb_6m;22;37;11110010000101000001110110;0.0280535949211937;11110010000101000001110110;0.0280535949211937;
log_sarimax_hill_climb_6m;23;95;00110011000000110001111110;0.0858922042422215;00110011000000110001111110;0.0858922042422215;
log_sarimax_hill_climb_6m;24;73;11001000011000011010010011;0.0544395357287997;11001000011000011010010011;0.0544395357287997;
