;0;1;2;3
579;P2;01111010001001101000111100;Done;
580;C;01111010001001101000111100;Creating SARIMAX;
581;F1;01111010001001101000111100;Before fitting;
582;F2;01111010001001101000111100;After fitting;3.183206900000016
583;P1;01111010001001101000111100;Done;
584;P2;01111010001001101000111100;Done;
585;C;01111010001001101000111100;Creating SARIMAX;
586;F1;01111010001001101000111100;Before fitting;
587;F2;01111010001001101000111100;After fitting;3.1486769999999638
588;P1;01111010001001101000111100;Done;
589;P2;01111010001001101000111100;Done;
590;C;01111010001001101000111100;Creating SARIMAX;
591;F1;01111010001001101000111100;Before fitting;
592;F2;01111010001001101000111100;After fitting;3.094450800000004
593;P1;01111010001001101000111100;Done;
594;P2;01111010001001101000111100;Done;
595;C;01111010001001101100111100;Creating SARIMAX;
596;F1;01111010001001101100111100;Before fitting;
597;F2;01111010001001101100111100;After fitting;3.441694200000029
598;P1;01111010001001101100111100;Done;
599;P2;01111010001001101100111100;Done;
600;C;01111110001001100000111100;Creating SARIMAX;
601;F1;01111110001001100000111100;Before fitting;
602;F2;01111110001001100000111100;After fitting;9.267108199999996
603;P1;01111110001001100000111100;Done;
604;P2;01111110001001100000111100;Done;
605;C;01111010001001101000111100;Creating SARIMAX;
606;F1;01111010001001101000111100;Before fitting;
607;F2;01111010001001101000111100;After fitting;3.0761885000000007
608;P1;01111010001001101000111100;Done;
609;P2;01111010001001101000111100;Done;
610;C;11111100001001101000111100;Creating SARIMAX;
611;F1;11111100001001101000111100;Before fitting;
612;F2;11111100001001101000111100;After fitting;12.671574700000008
